23-May-21 20:54:33,419|INFO |L.init             |main                       |Lightstreamer Server 7.1.2 build 1985
23-May-21 20:55:00,919|INFO |L.requests         |SERVER POOLED THREAD 5     |Serving request: control -> LS_mode=MERGE&LS_group=monitor_identification&LS_schema=EDITION%20LICENSE_TYPE&LS_snapshot=true&LS_subId=1&LS_op=add&LS_reqId=1&LS_session=Sd216a895aba51381Mef1T5500434& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58428
23-May-21 20:55:00,924|INFO |L.requests.messages|SERVER POOLED THREAD 10    |Sending message to session: S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,947|INFO |L.requests         |SERVER POOLED THREAD 6     |Controlling session: S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,947|INFO |L.requests         |SERVER POOLED THREAD 9     |Controlling session: Sd216a895aba51381Mef1T5500434 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58428
23-May-21 20:55:00,947|INFO |L.requests         |SERVER POOLED THREAD 10    |Controlling session: S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,947|INFO |L.requests         |SERVER POOLED THREAD 5     |Controlling session: S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,988|INFO |L.requests         |SERVER POOLED THREAD 2     |Serving request: control -> LS_mode=COMMAND&LS_group=Players_list&LS_schema=command%20key%20nick%20msg%20usrAgnt%20posX%20posY%201Plot.SymbolName&LS_data_adapter=ROOMBALL&LS_snapshot=true&LS_subId=5&LS_op=add&LS_reqId=10& LS_session:S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,990|INFO |L.requests         |SERVER POOLED THREAD 2     |Controlling session: S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:01,066|INFO |L.requests         |SERVER POOLED THREAD 5     |Serving request: control -> LS_mode=MERGE&LS_group=monitor_details&LS_schema=MAX_SSNS%20IS_MPN%20EXP_DATE%20MAX_RATE%20BAND%20TLS%20JMX%20VAL_TYPE&LS_snapshot=true&LS_subId=6&LS_op=add&LS_reqId=12& LS_session:Sd216a895aba51381Mef1T5500434 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58428
23-May-21 20:55:01,068|INFO |L.requests         |SERVER POOLED THREAD 5     |Serving request: control -> LS_mode=COMMAND&LS_group=monitor_client_libs&LS_schema=key%20command%20lib_ext%20free%20demo%20eval%20startup%20noprod-lim%20noprod-full%20prod%20standby%20ordinal&LS_snapshot=true&LS_subId=7&LS_op=add&LS_reqId=14& LS_session:Sd216a895aba51381Mef1T5500434 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58428
23-May-21 20:55:01,069|INFO |L.requests         |SERVER POOLED THREAD 5     |Controlling session: Sd216a895aba51381Mef1T5500434 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58428
23-May-21 20:55:01,071|INFO |L.requests         |SERVER POOLED THREAD 5     |Controlling session: Sd216a895aba51381Mef1T5500434 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58428
23-May-21 20:55:23,700|INFO |L.requests         |SERVER POOLED THREAD 10    |Serving request: /lightstreamer/create_session.txt?LS_protocol=TLCP-2.1.0 --> LS_phase=6101&LS_cause=new.api&LS_polling=true&LS_polling_millis=0&LS_idle_millis=0&LS_cid=pcYgxn8m8 feOojyA1U661h3g2.pz479oDy&LS_adapter_set=WELCOME& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58419
23-May-21 20:55:23,702|INFO |L.requests         |SERVER POOLED THREAD 2     |Starting new session: S9ba423662e3dea5dMef1T5523701 (javascript_client 8.0.2 build 1797) on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58419
23-May-21 20:55:23,876|INFO |L.requests         |SERVER POOLED THREAD 2     |Serving request: /lightstreamer/create_session.txt?LS_protocol=TLCP-2.1.0 --> LS_phase=5601&LS_cause=new.api&LS_polling=true&LS_polling_millis=0&LS_idle_millis=0&LS_cid=pcYgxn8m8 feOojyA1U661h3g2.pz479oDy&LS_requested_max_bandwidth=100&LS_adapter_set=MONITOR&LS_user=z&LS_password=[...]& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58419
23-May-21 20:55:23,883|INFO |L.requests         |SERVER POOLED THREAD 4     |Starting new session: S808fd1c2ab1eed1aMef1T5523881 (javascript_client 8.0.2 build 1797) on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58419
23-May-21 20:55:23,906|INFO |L.requests         |SERVER POOLED THREAD 4     |Serving request: bind_session -> LS_session=S9ba423662e3dea5dMef1T5523701&LS_phase=6103&LS_cause=loop1& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:23,907|INFO |L.requests         |SERVER POOLED THREAD 4     |Attaching session: S9ba423662e3dea5dMef1T5523701 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:23,969|INFO |L.requests         |SERVER POOLED THREAD 4     |Serving request: bind_session -> LS_session=S808fd1c2ab1eed1aMef1T5523881&LS_phase=5603&LS_cause=loop1& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58470
23-May-21 20:55:23,970|INFO |L.requests         |SERVER POOLED THREAD 4     |Attaching session: S808fd1c2ab1eed1aMef1T5523881 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58470
23-May-21 20:55:24,077|INFO |L.requests.messages|SERVER POOLED THREAD 10    |Serving request: msg -> LS_unq=80&LS_reqId=7&LS_sequence=Nick&LS_max_wait=3000&LS_msg_prog=1&LS_message=n|Guest856 LS_session:S9ba423662e3dea5dMef1T5523701 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,079|INFO |L.requests         |SERVER POOLED THREAD 4     |Serving request: control -> LS_mode=MERGE&LS_group=item1%20item2%20item3%20item4%20item5%20item6&LS_schema=stock_name%20last_price%20time%20pct_change%20min%20max&LS_data_adapter=STOCKS&LS_snapshot=true&LS_subId=1&LS_op=add&LS_reqId=1&LS_session=S9ba423662e3dea5dMef1T5523701& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,079|INFO |L.requests         |SERVER POOLED THREAD 2     |Serving multiple request: control -> {2 subrequests} on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,079|INFO |L.requests.messages|SERVER POOLED THREAD 10    |Sending message to session: S9ba423662e3dea5dMef1T5523701 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,080|INFO |L.requests         |SERVER POOLED THREAD 2     |Subrequest 1: LS_mode=MERGE&LS_group=P_driver_1&LS_schema=TIME%20Speed%20Rpm%20Gear_output%20Distance&LS_data_adapter=TELEMETRY&LS_snapshot=true&LS_subId=2&LS_op=add&LS_reqId=3& LS_session:S9ba423662e3dea5dMef1T5523701 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,080|INFO |L.requests         |SERVER POOLED THREAD 2     |Subrequest 2: LS_mode=DISTINCT&LS_group=chat_room&LS_schema=timestamp%20message%20IP%20nick&LS_data_adapter=CHAT&LS_snapshot=30&LS_subId=3&LS_op=add&LS_reqId=5& LS_session:S9ba423662e3dea5dMef1T5523701 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,080|INFO |L.requests         |SERVER POOLED THREAD 10    |Controlling session: S9ba423662e3dea5dMef1T5523701 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,081|INFO |L.requests         |SERVER POOLED THREAD 2     |Controlling session: S9ba423662e3dea5dMef1T5523701 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,081|INFO |L.requests         |SERVER POOLED THREAD 5     |Controlling session: S9ba423662e3dea5dMef1T5523701 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,196|INFO |L.requests         |SERVER POOLED THREAD 10    |Serving request: control -> LS_mode=COMMAND&LS_group=Players_list&LS_schema=command%20key%20nick%20msg%20usrAgnt%20posX%20posY%201Plot.SymbolName&LS_data_adapter=ROOMBALL&LS_snapshot=true&LS_subId=5&LS_op=add&LS_reqId=10& LS_session:S9ba423662e3dea5dMef1T5523701 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,196|INFO |L.requests         |SERVER POOLED THREAD 5     |Serving request: control -> LS_mode=MERGE&LS_group=monitor_identification&LS_schema=EDITION%20LICENSE_TYPE&LS_snapshot=true&LS_subId=4&LS_op=add&LS_reqId=8&LS_session=S808fd1c2ab1eed1aMef1T5523881& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58470
23-May-21 20:55:24,197|INFO |L.requests         |SERVER POOLED THREAD 10    |Controlling session: S9ba423662e3dea5dMef1T5523701 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58469
23-May-21 20:55:24,197|INFO |L.requests         |SERVER POOLED THREAD 5     |Controlling session: S808fd1c2ab1eed1aMef1T5523881 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58470
23-May-21 20:55:24,277|INFO |L.requests         |SERVER POOLED THREAD 4     |Serving request: control -> LS_mode=MERGE&LS_group=monitor_details&LS_schema=MAX_SSNS%20IS_MPN%20EXP_DATE%20MAX_RATE%20BAND%20TLS%20JMX%20VAL_TYPE&LS_snapshot=true&LS_subId=6&LS_op=add&LS_reqId=12& LS_session:S808fd1c2ab1eed1aMef1T5523881 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58470
23-May-21 20:55:24,279|INFO |L.requests         |SERVER POOLED THREAD 4     |Serving request: control -> LS_mode=COMMAND&LS_group=monitor_client_libs&LS_schema=key%20command%20lib_ext%20free%20demo%20eval%20startup%20noprod-lim%20noprod-full%20prod%20standby%20ordinal&LS_snapshot=true&LS_subId=7&LS_op=add&LS_reqId=14& LS_session:S808fd1c2ab1eed1aMef1T5523881 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58470
23-May-21 20:55:24,280|INFO |L.requests         |SERVER POOLED THREAD 4     |Controlling session: S808fd1c2ab1eed1aMef1T5523881 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58470
23-May-21 20:55:24,281|INFO |L.requests         |SERVER POOLED THREAD 4     |Controlling session: S808fd1c2ab1eed1aMef1T5523881 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58470
23-May-21 20:55:31,486|INFO |L.requests.messages|SERVER POOLED THREAD 4     |Serving request: msg -> LS_unq=61&LS_reqId=16&LS_outcome=false&LS_ack=false&LS_message=CHAT|sdf LS_session:S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:31,486|INFO |L.requests.messages|SERVER POOLED THREAD 4     |Sending message to session: S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:56:39,800|INFO |streamerMonitorText|Timer-1                    |Total threads = 92, Total heap = 41943040 (free = 21837864), Sessions = 4 (max = 4, refused = 0), New sessions = [+4, -0], Connections = 6 (max = 10), New connections = [+10, -4], In-pool threads = 32, Active threads = 0, Available threads = 32, Queued tasks = 0, Pool queue wait = 0, NIO write queue = 0, NIO write queue wait = 0, NIO write selectors = 4, NIO total selectors = 16, Subscribed items = 12 (for 24 subscriptions), Inbound throughput = 11.99 updates/s (pre-filtered = 11.99), Outbound throughput = 23.99 updates/s (17.74 kbit/s, max = 27.23), Lost updates = 0 (total = 0), Total bytes sent = 90132, Client messages throughput = 0 msgs/s (0 kbit/s, max = 0.08), Total messages handled = 3, Extra sleep = 0, Notify delay = 0
23-May-21 20:58:15,112|INFO |L.requests         |SERVER POOLED THREAD 10    |Serving request: control -> LS_op=destroy&LS_session=S98c5eaa3b048ca32Mef1T5500424&LS_reqId=17&LS_cause=suicide& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:58:15,113|INFO |L.requests         |SERVER POOLED THREAD 10    |Destroying session: S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:58:15,117|INFO |L.requests         |SERVER POOLED THREAD 7     |Serving request: control -> LS_op=destroy&LS_session=Sd216a895aba51381Mef1T5500434&LS_reqId=18&LS_cause=suicide& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58428
23-May-21 20:58:15,118|INFO |L.requests         |SERVER POOLED THREAD 7     |Destroying session: Sd216a895aba51381Mef1T5500434 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58428
23-May-21 20:58:15,120|INFO |L.requests         |SERVER POOLED THREAD 7     |Closed session Sd216a895aba51381Mef1T5500434 with internal cause code: 31 (Destroy invoked by client).
23-May-21 20:58:15,120|INFO |L.requests         |SERVER POOLED THREAD 10    |Closed session S98c5eaa3b048ca32Mef1T5500424 with internal cause code: 31 (Destroy invoked by client).
23-May-21 20:58:16,118|INFO |L.requests         |SERVER POOLED THREAD 9     |Serving request: /lightstreamer/dashboard/create_session.txt?LS_protocol=TLCP-2.1.0 --> LS_phase=1701&LS_cause=new.api&LS_polling=true&LS_polling_millis=0&LS_idle_millis=0&LS_cid=pcYgxn8m8 feOojyA1U661h3g2.pz479oDy&LS_requested_max_bandwidth=100&LS_adapter_set=MONITOR& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58715
23-May-21 20:58:16,120|INFO |L.requests         |SERVER POOLED THREAD 9     |Starting new session: Sa89497732f10f417Mef1T5816119 (javascript_client 8.0.2 build 1797) on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58715
23-May-21 20:58:16,394|INFO |L.requests         |SERVER POOLED THREAD 9     |Serving request: bind_session -> LS_session=Sa89497732f10f417Mef1T5816119&LS_phase=1703&LS_cause=loop1& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
